Bee species	Flower genus	Flower species	Flower family	Females	Males
Homalictus (Homalictus) behri					
	Alphitonia	excelsa	Rhamnaceae	2	
Homalictus (Homalictus) bremerensis					
	Banksia	grandis	Proteaceae	1	
Homalictus (Homalictus) brisbanensis					
	Acacia	parramattensis	Fabaceae	1	
	Angophora	floribunda	Myrtaceae	1	
	Angophora	hispida	Myrtaceae	2	
	Banksia	aemula	Proteaceae	1	
	Banksia	collina	Proteaceae	1	
	Banksia	oblongifolia	Proteaceae	1	
	Boronia	ledifolia	Rutaceae	1	
	Eriostemon	australasius	Rutaceae	1	
	Eucalyptus	robusta	Myrtaceae	2	
	Eucalyptus		Myrtaceae	2	
	Foeniculum	vulgare	Apiaceae	1	
	Platysace	ericoides	Apiaceae	5	
Homalictus (Homalictus) callaspis					
	Carpobrotus		Aizoaceae	1	
	Disphyma	crassifolium	Aizoaceae		1
	Ipomoea	pes-caprae	Convolvulaceae	2	4
	Senecio	lautus	Asteraceae	1	
Homalictus (Homalictus) caloundrensis					
	Acacia	buxifolia	Fabaceae	2	
	Banksia	integrifolia	Proteaceae	4	8
	Callistemon		Myrtaceae		1
	Eucalyptus	piperita	Myrtaceae	1	
	Tristaniopsis	laurina	Myrtaceae		1
Homalictus (Homalictus) ctenander					
	Eucalyptus		Myrtaceae	1	
	Hakea	tephrosperma	Proteaceae	1	
	Melaleuca		Myrtaceae	1	
Homalictus (Homalictus) dampieri					
	Callistemon		Myrtaceae	6	6
	Eucalyptus		Myrtaceae	3	
Homalictus (Homalictus) dotatus					
	Angophora	floribunda	Myrtaceae	1	
	Calotis	erinacea	Asteraceae	1	
	Eucalyptus	leucoxylon	Myrtaceae		1
	Eucalyptus		Myrtaceae	2	
Homalictus (Homalictus) holochlorus					
	Taraxacum	officinale	Asteraceae	3	2
	Banksia	aemula	Proteaceae	1	
	Banksia	ericifolia	Proteaceae	1	
	Banksia	integrifolia	Proteaceae	3	
	Boronia	ledifolia	Rutaceae	1	
	Bursaria	spinosa	Pittosporaceae	2	
	Daviesia	ulicifolia	Fabaceae	1	
	Dendrophthoe	glabrescens	Loranthaceae	1	
	Dianella	longifolia	Hemerocallidaceae	3	
	Eriostemon	australasius	Rutaceae		1
	Goodenia	bellidifolia	Goodeniaceae	1	
	Leptospermum		Myrtaceae	1	
	Lomatia	silaifolia	Proteaceae		4
	Monotoca	scoparia	Ericaceae	4	3
	Persoonia	oblongata	Proteaceae	2	
	Persoonia	tenuifolia	Proteaceae	1	1
	Pultenaea	tuberculata	Fabaceae	3	
	Xanthorrhoea	media	Xanthorrhoeaceae	2	
Homalictus (Homalictus) megastigmus					
	Acacia	rubida	Fabaceae	2	
	Angophora	floribunda	Myrtaceae	2	
	Haloragis	trigonocarpa	Haloragaceae	1	
	Leucopogon	microphyllus	Ericaceae	1	
	Polyscias	sambucifolia	Araliaceae	1	
Homalictus (Homalictus) murrayi					
	Bauhinia	cunninghamii	Fabaceae	1	
	Eremophila	sturtii	Scrophulariaceae	1	
	Persoonia	virgata	Proteaceae	2	
	Waltheria	virgata	Malvaceae	1	
Homalictus (Homalictus) niveifrons					
	Taraxacum	officinale	Asteraceae	1	1
	Astrotricha	latifolia	Araliaceae	1	
	Banksia	aemula	Proteaceae	1	1
	Bursaria	spinosa	Pittosporaceae	1	
	Corymbia	eximia	Myrtaceae	1	
	Disphyma	crassifolium	Aizoaceae	1	
	Eucalyptus	robusta	Myrtaceae	1	2
	Maclura	cochinchinensis	Moraceae	4	
Homalictus (Homalictus) punctatus					
	Acacia	buxifolia	Fabaceae	2	
	Angophora	hispida	Myrtaceae		1
	Callistemon		Myrtaceae	6	6
	Eucalyptus		Myrtaceae	2	
	Eucalyptus	bridgesiana	Myrtaceae	2	
	Eucalyptus	burgessiana	Myrtaceae	1	
	Eucalyptus	melliodora	Myrtaceae		2
	Eucalyptus	pauciflora	Myrtaceae	2	
	Eucalyptus		Myrtaceae	4	
	Leptospermum	trinervum	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae	1	1
	Persoonia	oblongata	Proteaceae	1	
	Xanthorrhoea	media	Xanthorrhoeaceae	1	
Homalictus (Homalictus) scrupulosus					
	Astrotricha	latifolia	Araliaceae	1	
Homalictus (Homalictus) sp. unsorted					
	Astrotricha	floccosa	Araliaceae	1	
	Trimenia	moorei	Trimeniaceae	1	
Homalictus (Homalictus) sphecodoides					
	Taraxacum	officinale	Asteraceae	11	14
	Acacia		Fabaceae	1	
	Cassinia	laevis	Asteraceae		1
	Convolvulus	arvensis	Convolvulaceae		1
	Convolvulus	mauretainicus	Convolvulaceae	1	
	Echium	plantagineum	Boraginaceae		1
	Eucalyptus	albens	Myrtaceae		1
	Eucalyptus		Myrtaceae	1	
	Leucopogon	microphyllus	Ericaceae	1	
	Ranunculus		Ranunculaceae	1	
	Wahlenbergia		Campanulaceae	3	6
Homalictus (Homalictus) sphecodopsis					
	Bauhinia	cunninghamii	Fabaceae	2	
	Callistemon		Myrtaceae	2	2
	Corymbia		Myrtaceae	10	
	Corymbia	terminalis	Myrtaceae	13	
	Eucalyptus	dumosa	Myrtaceae	1	
	Eucalyptus		Myrtaceae	11	
	Eucalyptus	viridis	Myrtaceae	2	
	Eucalyptus	yalatensis	Myrtaceae	4	
	Melaleuca		Myrtaceae	2	
Homalictus (Homalictus) urbanus					
	Taraxacum	officinale	Asteraceae	3	
	Acacia	cana	Fabaceae	2	5
	Calytrix	exstipulata	Myrtaceae	1	
	Corymbia	terminalis	Myrtaceae	1	
	Cullen	australasicum	Fabaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	2	
	Eremophila	polyclada	Scrophulariaceae	4	3
	Eremophila	sturtii	Scrophulariaceae	10	
	Eucalyptus		Myrtaceae	1	
	Frankenia	pseudoflabellata	Frankeniaceae	1	
	Hibbertia	acuminata	Dilleniaceae	1	
	Ipomoea	pes-caprae	Convolvulaceae	1	
	Melaleuca	decussata	Myrtaceae	1	3
	Melaleuca		Myrtaceae	1	1
	Pultenaea	procumbens	Fabaceae	1	
	Scaevola		Goodeniaceae	1	
	Senecio	madagascariensis	Asteraceae		4
	Senna	artemisiodes	Fabaceae	2	
	Solanum		Solanaceae	1	
	Stypandra	glauca	Hemerocallidaceae	1	
	Trianthema	pilosa	Aizoaceae	5	
	Tribulus	terrestris	Zygophyllaceae	1	
	Wahlenbergia		Campanulaceae	29	10
Lasioglossum (Australictus) lithuscum					
	Boronia	microphylla	Rutaceae	1	
	Gompholobium	grandiflorum	Fabaceae	3	
	Leucopogon	lanceolatus	Ericaceae	1	
	Mirbelia	platylobioides	Fabaceae	2	
	Podolobium	ilicifolium	Fabaceae	1	
	Pultenaea	linophylla	Fabaceae	2	
Lasioglossum (Australictus) peraustrale					
	Angophora	floribunda	Myrtaceae	2	1
	Angophora	hispida	Myrtaceae		3
	Callistemon		Myrtaceae	1	
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae		3
	Micromyrtus	blakelyi	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae	1	
	Pultenaea	flexilis	Fabaceae	1	
Lasioglossum (Australictus) plorator					
	Leucopogon	lanceolatus	Ericaceae	2	
	Oxylobium	arborescens	Fabaceae	1	
Lasioglossum (Australictus) tertium					
	Angophora	hispida	Myrtaceae		1
	Kunzea	ambigua	Myrtaceae	1	
	Leptospermum	polygalifolium	Myrtaceae		1
	Xanthorrhoea	media	Xanthorrhoeaceae	1	
Lasioglossum (Austrevylaeus) msp. austr1					
	Acacia	melanoxylon	Fabaceae	1	
Lasioglossum (Austrevylaeus) msp. austr2					
	Eucalyptus	robusta	Myrtaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Sowerbaea	juncea	Asparagaceae	1	
Lasioglossum (Austrevylaeus) msp. austr3					
	Hibbertia		Dilleniaceae	1	
	Wahlenbergia		Campanulaceae	1	
Lasioglossum (Austrevylaeus) msp. bernh					
	Leucopogon	lanceolatus	Ericaceae	1	
	Senecio	amygdalifolia	Asteraceae	4	
Lasioglossum (Austrevylaeus) sp. unsorted					
	Taraxacum	officinale	Asteraceae	1	
	Acacia	buxifolia	Fabaceae	1	
	Daviesia	latifolia	Fabaceae	1	
	Isopogon	anemonifolius	Proteaceae	1	
	Scaevola	ramosissima	Goodeniaceae	3	
Lasioglossum (Callalictus) callomelittinum					
	Ageratina	riparia	Asteraceae	2	
	Astrotricha	latifolia	Araliaceae	2	
	Boronia	pinnata	Rutaceae	1	
	Eucryphia	moorei	Cunoniaceae		3
	Hibbertia	scandens	Dilleniaceae	1	
	Leucopogon	lanceolatus	Ericaceae	1	
	Senecio	linearifolius	Asteraceae		1
	Senecio		Asteraceae	3	6
	Solanum		Solanaceae	1	
	Zieria		Rutaceae	3	
Lasioglossum (Chilalictus) adustum					
	Acacia	johnsonii	Fabaceae	5	
	Eucalyptus		Myrtaceae	4	
	Wahlenbergia		Campanulaceae	1	
Lasioglossum (Chilalictus) alacarinatum					
	Calotis	cuneifolia	Asteraceae	2	2
	Polycalymma	stuartii	Asteraceae	2	1
Lasioglossum (Chilalictus) albopilosum					
	Taraxacum	officinale	Asteraceae	1	
	Eucalyptus		Myrtaceae	2	
	Lechenaultia	divaricata	Goodeniaceae	1	
	Leucochrysum	albicans	Asteraceae	1	
	Polycalymma	stuartii	Asteraceae	1	
	Tribulus	terrestris	Zygophyllaceae	1	
Lasioglossum (Chilalictus) amplexum					
	Calotis	cuneifolia	Asteraceae	1	
	Eremophila	mitchellii	Scrophulariaceae	5	
	Eremophila		Scrophulariaceae	1	
	Eremophila	sturtii	Scrophulariaceae	9	
	Eremophila	youngii	Scrophulariaceae	3	
	Eucalyptus		Myrtaceae	1	
	Eucalyptus	torquata	Myrtaceae		1
	Hibbertia		Dilleniaceae	3	1
	Myoporum		Scrophulariaceae		1
	Westringia	rigida	Lamiaceae	2	
Lasioglossum (Chilalictus) appositum					
	Acacia	wilhelmiana	Fabaceae	7	
	Bossiaea	walkeri	Fabaceae	2	
	Callistemon		Myrtaceae	1	3
	Corymbia		Myrtaceae	12	
	Eremophila	deserti	Scrophulariaceae	5	
	Eremophila	mitchellii	Scrophulariaceae	3	1
	Eucalyptus		Myrtaceae	2	
	Eucalyptus	viridis	Myrtaceae	2	
Lasioglossum (Chilalictus) asperithorax					
	Taraxacum	officinale	Asteraceae		1
	Acacia	lunata	Fabaceae	1	
	Acacia	rubida	Fabaceae	2	
	Jacksonia	scoparia	Fabaceae	2	2
	Melaleuca		Myrtaceae		4
	Mirbelia	platylobioides	Fabaceae	2	
	Pultenaea	cinerascens	Fabaceae	2	
	Pultenaea		Fabaceae	1	
	Scabiosa		Caprifoliaceae		1
Lasioglossum (Chilalictus) aspratulum					
	Amyema	quandang	Loranthaceae	1	
	Eremophila	goodwinii	Scrophulariaceae	2	
	Eremophila	maculata	Scrophulariaceae	2	4
	Melaleuca		Myrtaceae	1	
Lasioglossum (Chilalictus) athrix					
	Eucalyptus		Myrtaceae	1	
Lasioglossum (Chilalictus) bibrochum					
	Craspedia		Asteraceae	2	1
Lasioglossum (Chilalictus) biceps					
	Acacia		Fabaceae	1	
	Eremophila	scoparia	Scrophulariaceae	2	1
	Eremophila	sturtii	Scrophulariaceae	10	6
	Hakea	tephrosperma	Proteaceae		4
	Wahlenbergia		Campanulaceae	1	
Lasioglossum (Chilalictus) bicingulatum					
	Angophora	floribunda	Myrtaceae	7	5
	Callistemon		Myrtaceae	1	2
	Eucalyptus	albens	Myrtaceae		2
	Eucalyptus	canaliculata	Myrtaceae	2	
	Eucalyptus	punctata	Myrtaceae		1
	Eucalyptus		Myrtaceae	1	3
	Leptospermum	polygalifolium	Myrtaceae	1	1
	Leptospermum		Myrtaceae	1	
	Ligustrum	lucidum	Oleaceae		1
	Lophostemon	confertus	Myrtaceae	1	
	Melaleuca	quinquinerva	Myrtaceae		2
	Melaleuca		Myrtaceae		1
	Monotoca	scoparia	Ericaceae	1	
	Syncarpia	glomulifera	Myrtaceae	1	
	Syzygium		Myrtaceae	1	
Lasioglossum (Chilalictus) bicolor					
	Calytrix	tetragona	Myrtaceae	2	
Lasioglossum (Chilalictus) bidentulatum					
	Abutilon	otocarpum	Malvaceae	2	
			Asteraceae	1	
	Disphyma	crassifolium	Aizoaceae	2	
	Eremophila	gilesii	Scrophulariaceae	1	
Lasioglossum (Chilalictus) brazieri					
	Hakea		Proteaceae	1	
	Leucopogon	lanceolatus	Ericaceae	3	1
	Phyllota	grandiflora	Fabaceae	1	
	Pultenaea	linophylla	Fabaceae		1
	Ranunculus		Ranunculaceae		2
	Senecio	amygdalifolia	Asteraceae	2	
	Wahlenbergia		Campanulaceae	2	1
Lasioglossum (Chilalictus) brunnesetum					
	Taraxacum	officinale	Asteraceae	1	1
	Bursaria	spinosa	Pittosporaceae	1	
	Cassinia	laevis	Asteraceae	4	
	Cassinia	uncata	Asteraceae	4	1
	Pultenaea	microphylla	Fabaceae	1	
	Scaevola	ramosissima	Goodeniaceae	1	
Lasioglossum (Chilalictus) bucculum					
	Eremophila	sturtii	Scrophulariaceae		2
	Frankenia	pseudoflabellata	Frankeniaceae	4	3
Lasioglossum (Chilalictus) calophyllae					
	Eremophila	scoparia	Scrophulariaceae	1	
	Eucalyptus	bridgesiana	Myrtaceae	1	
	Eucalyptus	leucoxylon	Myrtaceae	1	
	Eucalyptus	yalatensis	Myrtaceae	2	
	Leptospermum		Myrtaceae		1
	Olearia		Asteraceae	1	
Lasioglossum (Chilalictus) cambagei					
	Dianella		Hemerocallidaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	2	
	Mirbelia	platylobioides	Fabaceae	1	
	Senna		Fabaceae	1	
Lasioglossum (Chilalictus) carpobrotum					
	Disphyma	crassifolium	Aizoaceae	6	2
Lasioglossum (Chilalictus) castor					
	Callistemon		Myrtaceae	1	
	Kunzea		Myrtaceae	1	
Lasioglossum (Chilalictus) chapmani					
	Acacia	buxifolia	Fabaceae	1	
	Bursaria	spinosa	Pittosporaceae	2	
	Eremophila	deserti	Scrophulariaceae	1	
	Eucalyptus	piperita	Myrtaceae	1	
	Eucalyptus		Myrtaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Melaleuca		Myrtaceae	2	
	Micromyrtus	blakelyi	Myrtaceae	1	
	Phyllota	phylicoides	Fabaceae	1	
	Scabiosa		Caprifoliaceae		1
	Xerochrysum	bracteatum	Asteraceae	2	
Lasioglossum (Chilalictus) clelandi					
	Taraxacum	officinale	Asteraceae	1	1
	Bulbine	bulbosa	Asphodelaceae	1	
	Daviesia	mimosoides	Fabaceae	3	
	Hardenbergia	violacea	Fabaceae	4	
	Hebe		Plantaginaceae	1	
	Hibbertia	rufa	Dilleniaceae	1	
	Isopogon	anemonifolius	Proteaceae	1	
	Melaleuca	decussata	Myrtaceae		3
	Phyllota	phylicoides	Fabaceae		1
	Platylobium		Fabaceae	1	
	Pultenaea	flexilis	Fabaceae	1	
	Pultenaea	linophylla	Fabaceae	3	
	Pultenaea	microphylla	Fabaceae	2	
	Pultenaea	procumbens	Fabaceae	1	
	Pultenaea	scabra	Fabaceae	1	
	Pultenaea		Fabaceae	1	
	Pultenaea	subspicata	Fabaceae	2	
	Ranunculus		Ranunculaceae		1
	Wahlenbergia		Campanulaceae	2	1
Lasioglossum (Chilalictus) cognatum					
	Taraxacum	officinale	Asteraceae	2	2
	Calotis	cuneifolia	Asteraceae	1	
	Calotis		Asteraceae	2	
	Disphyma	crassifolium	Aizoaceae	2	
	Eremophila	bowmanii	Scrophulariaceae	1	
	Eremophila	deserti	Scrophulariaceae	1	2
	Eremophila	gilesii	Scrophulariaceae	4	
	Eremophila	polyclada	Scrophulariaceae	3	
	Eucalyptus		Myrtaceae	1	
	Goodenia	macbarronii	Goodeniaceae		1
	Leucochrysum	albicans	Asteraceae	6	
	Melaleuca	decussata	Myrtaceae	2	3
	Polycalymma	stuartii	Asteraceae	3	
	Ptilotus	helipteroides	Amaranthaceae	2	
	Pultenaea	procumbens	Fabaceae	1	
	Reichardia	tingitana	Asteraceae	2	
	Sida		Malvaceae	1	
	Swainsona	swainsonioides	Fabaceae	1	
	Wahlenbergia		Campanulaceae	30	12
Lasioglossum (Chilalictus) convexum					
	Angophora	hispida	Myrtaceae	1	
	Boronia	ledifolia	Rutaceae	2	
	Bursaria	spinosa	Pittosporaceae	2	
	Cryptandra	spinescens	Rhamnaceae	1	
	Eremophila	mitchellii	Scrophulariaceae	1	
	Goodenia	bellidifolia	Goodeniaceae	1	
	Hibbertia		Dilleniaceae	1	
	Jacksonia	scoparia	Fabaceae	1	
	Monotoca	scoparia	Ericaceae	1	
	Platysace	linearifolia	Apiaceae	1	
	Prostanthera	scutellarioides	Lamiaceae	1	
	Pultenaea	microphylla	Fabaceae	3	
	Pultenaea	villosa	Fabaceae	1	
	Scaevola		Goodeniaceae	4	
Lasioglossum (Chilalictus) demicapillum					
	Wahlenbergia		Campanulaceae	5	6
Lasioglossum (Chilalictus) ebeneum					
	Bossiaea	heterophylla	Fabaceae	1	
	Calotis	cuneifolia	Asteraceae	1	
	Corymbia	terminalis	Myrtaceae		1
	Dianella	longifolia	Hemerocallidaceae	2	
	Dillwynia	tenuifolia	Fabaceae	1	
	Eremophila	longifolia	Scrophulariaceae	5	
	Eremophila	mitchellii	Scrophulariaceae	13	
	Eremophila		Scrophulariaceae	2	
	Eremophila	sturtii	Scrophulariaceae	6	
	Hakea	tephrosperma	Proteaceae	1	
	Jacksonia	scoparia	Fabaceae	1	
	Keraudrenia	integrifolia	Malvaceae	2	
	Micromyrtus	blakelyi	Myrtaceae	1	
	Monotoca	scoparia	Ericaceae	1	
	Petalostylis	labicheoides	Fabaceae	1	
	Platysace	linearifolia	Apiaceae	1	
Lasioglossum (Chilalictus) eremaean					
	Acacia	oswaldi	Fabaceae	1	
	Cullen	australasicum	Fabaceae	1	
	Disphyma	crassifolium	Aizoaceae	1	
	Eremophila	christophori	Scrophulariaceae	1	
	Eremophila	deserti	Scrophulariaceae	4	1
	Eremophila	sturtii	Scrophulariaceae	10	1
	Frankenia		Frankeniaceae		1
	Leucochrysum	albicans	Asteraceae	11	
	Mesembryanthemum	crystallinum	Aizoaceae	3	
	Polycalymma	stuartii	Asteraceae	14	8
